actor,starmeter rank,google results
Kristin Bauer van Straten,199,269000
Rooney Mara,200,1690000
Taraji P. Henson,201,7370000
Ryan Phillippe,202,972000
Oscar Isaac,203,1020000
Tom Hanks,204,24300000
Sandra Bullock,205,19300000
Kristen Bell,206,12600000
Gillian Anderson,207,1970000
Imogen Poots,208,751000
Reese Witherspoon,209,22200000
J.K. Simmons,210,5930000
Alycia Debnam Carey,211,219000
Quentin Tarantino,212,12700000
Kate Winslet,213,17100000
Lindsay Lohan,214,48400000
Dylan Gelula,215,626000
Megan Fox,216,35800000
Kevin Durand,217,459000
Ben Affleck,218,26800000
Will Forte,219,644000
Abigail Spencer,220,587000
Jai Courtney,221,1360000
Tom Hiddleston,222,12000000
Cameron Diaz,223,31900000
Juno Temple,224,844000
Brooke Langton,225,296000
Jennifer Connelly,226,1610000
Marion Cotillard,227,13000000
Peter Dinklage,228,1470000
Rachel Brosnahan,229,218000
Sophie McShera,230,375000
James Franco,231,22700000
Sasha Grey,232,15800000
Linda Fiorentino,233,412000
Ryan Reynolds,234,18900000
Michelle Monaghan,235,1120000
Kat Dennings,236,20300000
Arnold Schwarzenegger,237,32300000
Emily Kinney,238,613000
Edward Norton,239,7260000
Clint Eastwood,240,25900000
James Van Der Beek,241,908000
Michael Keaton,242,9490000
Sam Heughan,243,680000
Christina Hendricks,244,1740000
Emmy Rossum,245,5360000
Alison Brie,246,1180000
Emma Roberts,247,9590000
Kerry Condon,248,312000
Joe Manganiello,249,2850000
Elisha Cuthbert,250,2100000
Sarah Hyland,251,4050000
Olivia Cooke,252,442000
Christopher Nolan,253,9510000
Melanie Griffith,254,6410000
Milla Jovovich,255,13500000
Carla Gugino,256,1050000
Jessalyn Gilsig,257,490000
Naomi Grossman,258,198000
Shad Moss,259,491000
Bree Turner,260,387000
Robin Williams,261,34200000
Nicolas Cage,262,13000000
Jennifer Ehle,263,549000
Karen Gillan,264,1210000
Emmanuelle Chriqui,265,1990000
Victoria Smurfit,266,241000
Jaime King,267,5920000
Terrence Howard,268,2760000
Ian Somerhalder,269,18300000
Abigail Breslin,270,1250000
Jack O'Connell,271,764000
Yvonne Strahovski,272,1140000
Sigourney Weaver,273,7290000
Gabriel Macht,274,708000
Stephen Amell,275,6590000
Chloë Sevigny,276,5600
Alexis Bledel,277,1180000
Mark Hamill,278,1030000
Anna Faris,279,3200000
Rose Leslie,280,541000
Will Ferrell,281,26300000
Matt Bomer,282,2770000
Sofia Boutella,283,444000
Vin Diesel,284,125000000
Brenton Thwaites,285,613000
Gwendoline Christie,286,565000
Denzel Washington,287,14000000
Rose McIver,288,556000
Christine Taylor,289,513000
Danielle Panabaker,290,614000
Natalie Martinez,291,511000
Ben Foster,292,1130000
Gerard Butler,293,10300000
Jenna Fischer,294,791000
Jamie Chung,295,1490000
Kristen Connolly,296,387000
Leonard Nimoy,297,26700000
KaDee Strickland,298,325000
Ralph Fiennes,299,2660000
Gal Gadot,300,9720000
Jennifer Lopez,301,115000000
Tovah Feldshuh,302,194000
Kate Upton,303,34300000
Daniel Craig,304,15500000
Jennifer Morrison,305,1190000
Manu Bennett,306,505000
Mark Wahlberg,307,22800000
Willow Shields,308,1340000
Alex Pettyfer,309,1400000
Leslie Mann,310,931000
Emily Browning,311,1010000
Amanda Seyfried,312,11100000
Ryan Potter,313,511000
Holliday Grainger,314,573000
Philip Seymour Hoffman,315,6610000
Jason Isaacs,316,609000
Jon Hamm,317,1360000
Hayden Panettiere,318,4230000
Courteney Cox,319,3690000
Bridgette Wilson-Sampras,320,115000
Sarah Michelle Gellar,321,2470000
Robert De Niro,322,18600000
James Marsden,323,1060000
Emile Hirsch,324,2410000
Judy Greer,325,686000
Taylor Momsen,326,6750000
Selena Gomez,327,133000000
Amanda Schull,328,363000
Samuel L. Jackson,329,16800000
Vince Vaughn,330,6300000
Taryn Manning,331,619000
Jessica Biel,332,18700000
Idris Elba,333,8410000
Kristen Wiig,334,2190000
Alexander Ludwig,335,706000
Garrett Hedlund,336,925000
Alexis Knapp,337,497000
Christian Serratos,338,688000
Noomi Rapace,339,1040000
Saoirse Ronan,340,1130000
Elsa Pataky,341,1540000
AnnaSophia Robb,342,1240000
Mayim Bialik,343,696000
Michael Kelly,344,857000
Maika Monroe,345,443000
Linda Cardellini,346,531000
Kit Harington,347,934000
Ki Hong Lee,348,413000
Michelle Forbes,349,438000
Claire Danes,350,1690000
Robert Pattinson,351,32300000
Ross Marquand,352,119000
Alice Eve,353,968000
Brandon Jones,354,559000
Rebel Wilson,355,768000
Léa Seydoux,356,676
Audrey Hepburn,357,19800000
Max Thieriot,358,1110000
Lucy Lawless,359,1140000
Bruce Willis,360,23900000
Daniel Radcliffe,361,17300000
Bryshere Y. Gray,362,606000
Sarah Shahi,363,934000
Mark Strong,364,791000
Juliette Lewis,365,1040000
Constance Wu,366,98800
Lyndsy Fonseca,367,1130000
Luke Hemsworth,368,157000
Olivia Munn,369,2160000
Salma Hayek,370,19400000
Matt Damon,371,17000000
Jenna Dewan Tatum,372,1080000
Ron Jeremy,373,2150000
Al Pacino,374,15200000
Colton Haynes,375,945000
Nicole Kidman,376,32500000
Chloe Bennet,377,3220000
Alexander Skarsgård,378,649000
Timothy Olyphant,379,751000
Eva Mendes,380,19300000
Wes Anderson,381,7160000
Mark Ruffalo,382,7080000
Adrien Brody,383,1370000
Penélope Cruz,384,5550000
Bailee Madison,385,565000
Bob Odenkirk,386,759000
Meryl Streep,387,20400000
Leighton Meester,388,2990000
Wentworth Miller,389,4260000
Orlando Bloom,390,13700000
Emily Bett Rickards,391,584000
Maggie Grace,392,1080000
Rachel Nichols,393,781000
Anton Yelchin,394,636000
Taylor Lautner,395,21000000
Cillian Murphy,396,816000
Krysten Ritter,397,870000
Megan Boone,398,485000
Dean Winters,399,423000
Uma Thurman,400,84800000
Hailee Steinfeld,401,1210000
Julianne Hough,402,9090000
Christoph Waltz,403,5460000
Mary-Louise Parker,404,752000
Gugu Mbatha-Raw,405,540000
Lindsey McKeon,406,193000
Aubrey Plaza,407,3410000
T.J. Miller,408,574000
Katherine von Drachenberg,409,95800
Michelle Pfeiffer,410,1410000
Owen Wilson,411,10100000
Jim Carrey,412,20400000
Abbie Cornish,413,1270000
Margarita Levieva,414,407000
Jeremy Sumpter,415,518000
Liana Liberato,416,438000
Lacey Chabert,417,8780000
Jada Pinkett Smith,418,7860000
Ethan Hawke,419,7590000
Clive Standen,420,397000
Will Poulter,421,494000
Rhea Seehorn,422,312000
Rihanna,423,294000000
Analeigh Tipton,424,523000
Lori Petty,425,362000
Adam Campbell,426,420000
Colin O'Donoghue,427,498000
Carrie Underwood,428,23000000
Tina Fey,429,12700000
David Tennant,430,8300000
Steve Carell,431,9900000
Katherine Heigl,432,9150000
Josh Duhamel,433,7770000
Taylor Schilling,434,2260000
Bridget Regan,435,442000
Tiffani Thiessen,436,1110000
Kirsten Dunst,437,9500000
Chuck Norris,438,28100000
Olesya Rulin,439,360000
Debby Ryan,440,13500000
George Clooney,441,35300000
Jean Louisa Kelly,442,201000
Noel Fisher,443,461000
Zooey Deschanel,444,15000000
Thomas Brodie-Sangster,445,450000
Ronda Rousey,446,19400000
Christina Ricci,447,2230000
Mel Gibson,448,12700000
Jeremy Renner,449,7940000
Jonah Hill,450,7560000
Matthew Vaughn,451,1090000
Melissa McCarthy,452,2510000
Keri Russell,453,1420000
Bryce Dallas Howard,454,963000
Nikolaj Coster-Waldau,455,737000
Chad Michael Murray,456,957000
Tracy Spiridakos,457,413000
Aisha Tyler,458,610000
Kelly Brook,459,22000000
Annabeth Gish,460,412000
Emily Ratajkowski,461,11900000
Lady Gaga,462,191000000
Drew Barrymore,463,17200000
Juliette Binoche,464,1250000
Jessica Alba,465,41300000
Chandler Riggs,466,532000
Liza Minnelli,467,1060000
Dianna Agron,468,7160000
Summer Glau,469,1020000
Zoë Kravitz,470,467000
Taissa Farmiga,471,580000
James McAvoy,472,1650000
Julia Roberts,473,17500000
Lake Bell,474,814000
Kenneth Branagh,475,2230000
Larisa Oleynik,476,344000
Ryan Guzman,477,662000
Bill Murray,478,11900000
Jensen Ackles,479,11500000
Matthew Lewis,480,1420000
Jessica Stroup,481,691000
Carrie Fisher,482,1150000
Helen Hunt,483,1100000
Lana Parrilla,484,649000
Tatiana Maslany,485,562000
Vanessa Hudgens,486,34700000
Ryan Hurst,487,397000
Rhona Mitra,488,660000
Winona Ryder,489,1520000
Robyn Lively,490,185000
Ruth Wilson,491,653000
Leslie Bibb,492,569000
Katharine McPhee,493,1530000
Sarah Wayne Callies,494,590000
Ewan McGregor,495,7710000
Jack Nicholson,496,10600000
Emily VanCamp,497,922000
Lena Dunham,498,9840000
Miley Cyrus,499,148000000
Marlon Brando,500,8040000
Cote de Pablo,501,786000
Steven Spielberg,502,17800000
Ellar Coltrane,503,465000
Eden Sher,504,296000
Barbara Alyn Woods,505,323000
John Barrowman,506,834000
Lucy DeVito,507,62800
Connie Nielsen,508,525000
Sasha Pieterse,509,726000
Brooklyn Decker,510,2050000
Stana Katic,511,957000
Matthew Perry,512,983000
Ed Harris,513,2110000
Zachary Quinto,514,1220000
Lucas Black,515,499000
Shannon Tweed,516,756000
Jack Gleeson,517,408000
Patrick Swayze,518,3400000
Gabriella Wilde,519,533000
Haley Joel Osment,520,618000
Nick Offerman,521,959000
Emilie de Ravin,522,756000
Raquel Alessi,523,138000
Jessica Lange,524,2520000
Mahershala Ali,525,232000
Sebastian Stan,526,749000
Mélanie Laurent,527,595000
Eliza Dushku,528,2660000
Brie Larson,529,649000
Olga Kurylenko,530,1870000
Andrew Garfield,531,9450000
Titus Welliver,532,402000
Nathalie Emmanuel,533,890000
Ariana Grande,534,111000000
Tilda Swinton,535,1480000
Viggo Mortensen,536,1080000
Diane Kruger,537,2930000
Isla Fisher,538,6140000
Ron Perlman,539,844000
Kevin Costner,540,8270000
Jennifer Grey,541,630000
Michelle Trachtenberg,542,1210000
David Anders,543,762000
Sophia Bush,544,1270000
Victoria Justice,545,12300000
Hilarie Burton,546,505000
Rose McGowan,547,1370000
Cameron Monaghan,548,495000
Russell Crowe,549,12400000
Jennifer Garner,550,12200000
Rosario Dawson,551,6330000
Anna Paquin,552,1570000
Paula Patton,553,1620000
Ellen Page,554,9960000
Martin Scorsese,555,11800000
Danai Gurira,556,508000
Thomas Lennon,557,447000
Seth Rogen,558,12600000
Marilyn Monroe,559,39400000
Ashley Greene,560,13100000
Isabel Lucas,561,766000
Domhnall Gleeson,562,576000
Dave Bautista,563,4920000
William H. Macy,564,707000
Ian McKellen,565,9740000
Gary Oldman,566,6100000
Jurnee Smollett-Bell,567,250000
Camilla Belle,568,1330000
Mickey Rourke,569,6060000
Alyson Stoner,570,869000
Hayley Kiyoko,571,875000
Charlie Cox,572,620000
Ridley Scott,573,9720000
Peter Sarsgaard,574,639000
Diane Lane,575,1270000
Katee Sackhoff,576,653000
Aaron Eckhart,577,901000
Vincent D'Onofrio,578,881000
Andrea Parker,579,417000
Joaquin Phoenix,580,5990000
Kevin Bacon,581,7920000
Ashley Hinshaw,582,441000
Carey Mulligan,583,1750000
Richard Gere,584,7390000
Stephanie Sigman,585,904000
Paul Rudd,586,6510000
Willa Holland,587,661000
David Schwimmer,588,1050000
Michelle Rodriguez,589,17200000
James Cromwell,590,553000
Tyler Hoechlin,591,1030000
Sarah Rafferty,592,408000
Danny Masterson,593,427000
Jessica Parker Kennedy,594,471000
Milo Ventimiglia,595,761000
Hayden Christensen,596,881000
Nikki Reed,597,1840000
Justin Theroux,598,1090000
Julie Bowen,599,869000
Tim Burton,600,25800000
Anne Heche,601,809000
Jon Bernthal,602,599000
Taylor Kinney,603,3220000
Andrea Riseborough,604,579000
Laura Vandervoort,605,786000
Martin Freeman,606,7170000
Alejandro González Iñárritu,607,953000
John Cusack,608,1750000
Eli Roth,609,879000
Guy Pearce,610,994000
Kevin Hart,611,29000000
Kerry Washington,612,11800000
Stanley Tucci,613,884000
William Moseley,614,499000
Hilary Duff,615,26600000
Amber Nash,616,111000
Mireille Enos,617,500000
Maria Bello,618,864000
Jude Law,619,11400000
Michelle Dockery,620,731000
Jonathan Rhys Meyers,621,942000
Melissa McBride,622,438000
Halston Sage,623,448000
Helen McCrory,624,449000
Taylor Swift,625,273000000
Asa Butterfield,626,564000
Jodie Foster,627,6480000
Dominic Cooper,628,937000
Mia Wasikowska,629,1020000
Alanna Masterson,630,296000
Nick Zano,631,591000
Alan Tudyk,632,813000
Penn Badgley,633,1020000
Logan Browning,634,208000
Julie Andrews,635,7520000
Kate Hudson,636,15000000
James D'Arcy,637,586000
Mads Mikkelsen,638,843000
Robin Tunney,639,634000
Indiana Evans,640,544000
Téa Leoni,641,400000
Chelsea Kane,642,608000
Molly Ringwald,643,1070000
Yo-Landi Visser,644,254000
Meghan Markle,645,494000
Lucy Liu,646,1730000
Anson Mount,647,419000
Jenna Coleman,648,646000
Alia Shawkat,649,445000
Catherine Bell,650,890000
Rami Malek,651,410000
Amanda Bynes,652,7720000
Anthony Michael Hall,653,485000
Rashida Jones,654,1400000
Amy Poehler,655,11000000
RJ Mitte,656,412000
Sean Connery,657,8830000
Alex O'Loughlin,658,986000
Michael C. Hall,659,681000
Ashley Benson,660,9510000
Daniel Day-Lewis,661,1120000
David Fincher,662,5900000
Melanie Lynskey,663,512000
Scott Adsit,664,472000
Katey Sagal,665,698000
Meg Ryan,666,1440000
Lili Simmons,667,432000
Ivana Milicevic,668,444000
Michelle Williams,669,10600000
Odette Annable,670,528000
Missy Peregrym,671,522000
AnnaLynne McCord,672,1360000
Laurie Holden,673,516000
Rachel Bilson,674,24100000
Rodrigo Santoro,675,1060000
Joelle Carter,676,388000
Morgan Freeman,677,23000000
Calista Flockhart,678,2150000
Sydney Penny,679,229000
Jared Padalecki,680,4450000
Elden Henson,681,294000
Jay Baruchel,682,664000
Nathan Fillion,683,1250000
Zach McGowan,684,313000
Javier Bardem,685,2280000
Katie Holmes,686,17500000
Derek Luke,687,443000
Pauley Perrette,688,640000
Colin Farrell,689,7500000
Skylar Astin,690,503000
Minka Kelly,691,1660000
Anna Gunn,692,567000
Arielle Kebbel,693,763000
Mandy Moore,694,5350000
Malin Akerman,695,4010000
Sarah Gadon,696,609000
Matt LeBlanc,697,685000
Gillian Jacobs,698,707000
Walton Goggins,699,419000
Gina Carano,700,1090000
Val Kilmer,701,2530000
Pierce Brosnan,702,7620000
Tom Felton,703,1340000
Natalie Zea,704,475000
Denise Richards,705,1920000
Kate Bosworth,706,6420000
Austin Nichols,707,692000
Jim Sturgess,708,699000
Anna Camp,709,526000
Judi Dench,710,5820000
Raven-Symoné,711,3320000
Bonnie Wright,712,782000
Sam Rockwell,713,728000
Jeff Bridges,714,8410000
Jaime Pressly,715,876000
Julianna Margulies,716,1030000
Grant Gustin,717,995000
Rene Russo,718,663000
Sophie Cookson,719,172000
Carice van Houten,720,677000
Hugh Laurie,721,8310000
Woody Harrelson,722,4940000
Josh Hartnett,723,1400000
Johnny Galecki,724,673000
Idina Menzel,725,13100000
Gustaf Skarsgård,726,233000
Andrew Ridings,727,12600
Ioan Gruffudd,728,523000
Kaitlin Doubleday,729,227000
Rob Lowe,730,1230000
Brendan Fraser,731,784000
Cam Gigandet,732,943000
Ashton Kutcher,733,26100000
Jennifer Carpenter,734,670000
Sarah Snook,735,369000
Briana Evigan,736,549000
H. Jon Benjamin,737,316000
Ninja,738,178000000
Famke Janssen,739,1060000
Alexis Dziena,740,480000
Paul Sparks,741,175000
Sean Bean,742,1130000
Lorelei Linklater,743,353000
Gwyneth Paltrow,744,25700000
Bridget Moynahan,745,771000
Ashley Judd,746,3890000
Elisabeth Shue,747,679000
Alison Sudol,748,195000
Anna Chlumsky,749,494000
Eddie Murphy,750,18500000
Lindsay Sloane,751,349000
Jonathan Groff,752,685000
Ricky Whittle,753,806000
Maggie Q,754,1760000
Rachael Leigh Cook,755,582000
Ming-Na Wen,756,510000
Astrid Bergès-Frisbey,757,320000
Shane West,758,539000
Luke Bracey,759,400000
Niamh Wilson,760,86400
Ali Larter,761,1560000
Liv Tyler,762,10200000
Alicia Silverstone,763,1460000
Alyssa Sutherland,764,357000
Charles Dance,765,609000
Grace Gealey,766,452000
Caity Lotz,767,451000
Neil Patrick Harris,768,17200000
Jason Bateman,769,1010000
Jordana Brewster,770,6390000
Rupert Friend,771,525000
Don Johnson,772,1030000
Michael Sheen,773,873000
Michael Caine,774,7000000
Jamie Bell,775,842000
Elena Satine,776,300000
Hana Mae Lee,777,130000
Robert Carlyle,778,589000
Tommy Flanagan,779,2160000
Jason Sudeikis,780,868000
Maude Apatow,781,135000
Alan Rickman,782,1110000
Melissa George,783,750000
Andrew Keegan,784,355000
Michael Cudlitz,785,386000
Julie Benz,786,783000
Ellen Pompeo,787,1210000
Geena Davis,788,765000
Miranda Cosgrove,789,8120000
Gaspard Ulliel,790,622000
Hugo Weaving,791,819000
Sienna Guillory,792,531000
Zachary Levi,793,697000
Jesse Eisenberg,794,1190000
Catherine Zeta-Jones,795,8900000
Demi Moore,796,15600000
Elizabeth Regen,797,60000
Heather Graham,798,1840000
Lauren Graham,799,815000
Matt Nable,800,153000
Ezra Miller,801,620000
Kathleen Turner,802,645000
Steve Buscemi,803,1480000
Allison Janney,804,716000
Kelly Hu,805,750000
Douglas Booth,806,839000
Kenzie Dalton,807,74600
Tom Selleck,808,717000
Mena Suvari,809,1540000
Bill Nighy,810,858000
Emma Thompson,811,1920000
Robert Wagner,812,609000
John Krasinski,813,914000
Kathleen Robertson,814,521000
Fairuza Balk,815,417000
Marisa Tomei,816,1270000
Jessica Brown Findlay,817,664000
Jennifer Tilly,818,728000
Jon Favreau,819,880000
Topher Grace,820,558000
Grace Park,821,780000
Courtney Ford,822,325000
Tim Curry,823,631000
Mariska Hargitay,824,824000
Annie Wersching,825,402000
Maggie Gyllenhaal,826,1200000
Emily Hampshire,827,350000
Luke Mably,828,178000
Steve Howey,829,377000
Laura Ramsey,830,484000
Lars Mikkelsen,831,346000
Hunter Parrish,832,477000
Joey King,833,575000
Felicity Huffman,834,870000
Rosie Huntington-Whiteley,835,11700000
Mackenzie Foy,836,615000
Michiel Huisman,837,405000
Jeff Goldblum,838,1070000
Sharni Vinson,839,474000
Jennie Jacques,840,107000
Robert Duvall,841,977000
Jackie Chan,842,30200000
MyAnna Buring,843,437000
Leelee Sobieski,844,818000
Corey Stoll,845,481000
Missi Pyle,846,447000
Audrey Marie Anderson,847,124000
Georgie Henley,848,502000
Freida Pinto,849,4290000
Sonequa Martin-Green,850,263000
Sarah Bolger,851,499000
Clea DuVall,852,403000
Jim Caviezel,853,658000
Pamela Anderson,854,29000000
Brittany Murphy,855,1170000
Adelaide Kane,856,522000
Ashley Tisdale,857,23700000
Jeffrey Dean Morgan,858,574000
Andy Samberg,859,1650000
Kim Basinger,860,1090000
River Phoenix,861,625000
Keegan Connor Tracy,862,345000
Richard Glatzer,863,1430000
Elijah Wood,864,3860000
Billie Piper,865,1040000
Ben Whishaw,866,670000
Judd Nelson,867,451000
Lauren Ambrose,868,413000
Constance Zimmer,869,351000
Damian Lewis,870,744000
Skyler Samuels,871,331000
Viola Davis,872,11200000
Robert Redford,873,6870000
Chris O'Donnell,874,473000
Lisa Kudrow,875,2550000
Sam Worthington,876,3700000
Rebecca Romijn,877,926000
Jean-Claude Van Damme,878,16000000
Mike Vogel,879,532000
Bob Morley,880,832000
Portia de Rossi,881,1240000
Bridgit Mendler,882,1890000
Karl Urban,883,750000
Sam Elliott,884,495000
Ed Westwick,885,1340000
Nat Wolff,886,815000
Kevin Smith,887,31900000
Jackson Rathbone,888,759000
Steve McQueen,889,8230000
Tye Sheridan,890,405000
Jonny Lee Miller,891,600000
Ashley Johnson,892,539000
Jayma Mays,893,567000
Halle Berry,894,23500000
Josh Brolin,895,1750000
Alison Becker,896,109000
Kellan Lutz,897,2130000
Lucy Hale,898,11100000
Anthony Hopkins,899,7400000
Elizabeth Taylor,900,14100000
Peter Berg,901,697000
Alyssa Milano,902,6770000
Kurt Russell,903,1340000
Paul Newman,904,6840000
Jennifer Coolidge,905,551000
Paul Bettany,906,816000
Common,907,1750000000
Rachael Taylor,908,584000
Lauren Adams,909,412000
Madonna,910,223000000
Wendi McLendon-Covey,911,413000
Rachel Melvin,912,280000
Tom Welling,913,997000
Caitriona Balfe,914,606000
Alicia Witt,915,562000
Maggie Siff,916,408000
Cary Elwes,917,621000
Renée Felice Smith,918,78500
Sophie Lowe,919,346000
Sam Taylor-Johnson,920,758000
Lisa Bonet,921,867000
Lea Michele,922,17600000
Shelley Hennig,923,480000
Ryan Eggold,924,356000
Woody Allen,925,20500000
Alyson Hannigan,926,1290000
Natalie Wood,927,837000
Alex Kingston,928,527000
Scott Caan,929,558000
Camren Bicondova,930,369000
Jamie Campbell Bower,931,705000
Dick Van Dyke,932,711000
Dane DeHaan,933,959000
Tricia Helfer,934,725000
Wil Wheaton,935,676000
Elizabeth McGovern,936,529000
Natasha Lyonne,937,554000
Amy Smart,938,1010000
Simon Pegg,939,2470000
Eric Bana,940,1080000
Mary-Kate Olsen,941,1710000
Mia Goth,942,1100000
Stanley Kubrick,943,9530000
Drea de Matteo,944,513000
Helen Mirren,945,7890000
Kimberly Williams-Paisley,946,351000
Gillian Alexy,947,95600
Christina Aguilera,948,45200000
Macaulay Culkin,949,1070000
Adam Scott,950,4450000
Kim Kardashian West,951,1990000
James Purefoy,952,555000
Willem Dafoe,953,1150000
Elisabeth Moss,954,965000
Kristinia DeBarge,955,633000
Josh Gad,956,3700000
Aimee Teegarden,957,592000
Elizabeth Henstridge,958,475000
Paige Turco,959,387000
Devon Werkheiser,960,284000
Matt Bennett,961,450000
Terry Crews,962,5470000
Robert Carradine,963,528000
Mädchen Amick,964,273000
Faye Dunaway,965,757000
Sarah Paulson,966,999000
Peter Stormare,967,664000
Anna Popplewell,968,558000
Chyler Leigh,969,554000
Madeleine Stowe,970,574000
Donal Logue,971,475000
Katie Findlay,972,290000
Zach Galifianakis,973,6180000
